username,repo_name,stars,repo_url
sindresorhus,awesome,260000,https://github.com/sindresorhus/awesome
vinta,awesome-python,173000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,138000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,104000,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,101000,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,74700,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,70700,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,66500,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,61700,https://github.com/jaywcjlove/awesome-mac
enaqx,awesome-react,56500,https://github.com/enaqx/awesome-react
DopplerHQ,awesome-interview-questions,56100,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,52600,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,51700,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,47900,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,47400,https://github.com/Solido/awesome-flutter
fffaraz,awesome-cpp,47200,https://github.com/fffaraz/awesome-cpp
wasabeef,awesome-android-ui,46800,https://github.com/wasabeef/awesome-android-ui
binhnguyennus,awesome-scalability,45700,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,43200,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,41500,https://github.com/tiimgreen/github-cheat-sheet
