username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,137000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,68200,https://github.com/nvm-sh/nvm
junegunn,fzf,53000,https://github.com/junegunn/fzf
google,zx,37800,https://github.com/google/zx
starship,starship,34900,https://github.com/starship/starship
LeCoupa,awesome-cheatsheets,34000,https://github.com/LeCoupa/awesome-cheatsheets
dylanaraps,pure-bash-bible,33700,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,32400,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,32200,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,29100,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,27700,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,24300,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,22100,https://github.com/withfig/autocomplete
dylanaraps,neofetch,18300,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,17900,https://github.com/asdf-vm/asdf
Nyr,openvpn-install,17300,https://github.com/Nyr/openvpn-install
rbenv,rbenv,15100,https://github.com/rbenv/rbenv
kingToolbox,WindTerm,15100,https://github.com/kingToolbox/WindTerm
faressoft,terminalizer,14200,https://github.com/faressoft/terminalizer
warpdotdev,Warp,14200,https://github.com/warpdotdev/Warp
